날짜,지역,제품,매출,수량,목표매출
2026-01-01,서울,노트북 거치대,1250000,25,1200000
2026-01-01,부산,노트북 거치대,840000,17,900000
2026-01-01,대구,노트북 거치대,615000,12,650000
2026-02-01,서울,무선 키보드,1480000,37,1400000
2026-02-01,부산,무선 키보드,960000,24,950000
2026-02-01,대구,무선 키보드,720000,18,700000
2026-03-01,서울,USB-C 허브,1725000,46,1600000
2026-03-01,부산,USB-C 허브,1125000,30,1100000
2026-03-01,대구,USB-C 허브,825000,22,850000
2026-04-01,서울,웹캠,1560000,26,1500000
2026-04-01,부산,웹캠,1020000,17,1050000
2026-04-01,대구,웹캠,780000,13,800000
2026-05-01,서울,모니터 암,1980000,22,1900000
2026-05-01,부산,모니터 암,1260000,14,1300000
2026-05-01,대구,모니터 암,900000,10,950000
2026-06-01,서울,기계식 키보드,2340000,36,2200000
2026-06-01,부산,기계식 키보드,1560000,24,1500000
2026-06-01,대구,기계식 키보드,1040000,16,1100000
